Entity,Code,Year,Total food expenditure
Japan,JPN,2017,3304.7
Japan,JPN,2018,3417.5
Japan,JPN,2019,3116.2434
Japan,JPN,2020,3038.4639
Japan,JPN,2021,3458.9053
Jordan,JOR,2017,1059.9
Jordan,JOR,2018,1091.1
Jordan,JOR,2019,790.9116
Jordan,JOR,2020,783.2335
Jordan,JOR,2021,926.48926
Kazakhstan,KAZ,2017,2059.3
Kazakhstan,KAZ,2018,2144.3
Kazakhstan,KAZ,2019,2102.3142
Kazakhstan,KAZ,2020,2217.4338
Kazakhstan,KAZ,2021,2554.1501
Kenya,KEN,2017,646.6
Kenya,KEN,2018,729.4
Kenya,KEN,2019,782.83923
Kenya,KEN,2020,826.9117
Kenya,KEN,2021,885.3816
Kuwait,KWT,2017,1841.3
Kuwait,KWT,2018,1910.5
Kuwait,KWT,2019,1872.8813
Kuwait,KWT,2020,1803.8622
Kuwait,KWT,2021,1535.481
Laos,LAO,2017,831.6
Laos,LAO,2018,871.4
Laos,LAO,2019,836.81616
Laos,LAO,2020,867.3664
Laos,LAO,2021,875.5985
Latvia,LVA,2017,1648.6
Latvia,LVA,2018,1820.8
Latvia,LVA,2019,1764.8906
Latvia,LVA,2020,1816.6553
Latvia,LVA,2021,2171.1729
Lebanon,LBN,2017,1655.2
Lebanon,LBN,2018,1796.3
Lebanon,LBN,2019,248.76927
Lebanon,LBN,2020,364.26733
Lebanon,LBN,2021,602.0936
Lithuania,LTU,2017,2269.2
Lithuania,LTU,2018,2521.1
Lithuania,LTU,2019,2251.4084
Lithuania,LTU,2020,2692.4365
Lithuania,LTU,2021,2885.609
Malaysia,MYS,2017,1224.6
Malaysia,MYS,2018,1410.7
Malaysia,MYS,2019,1443.2708
Malaysia,MYS,2020,1526.1273
Malaysia,MYS,2021,1736.9082
Mexico,MEX,2017,1452.9
Mexico,MEX,2018,1499.9
Mexico,MEX,2019,1325.996
Mexico,MEX,2020,1361.8076
Mexico,MEX,2021,1754.4174
Montenegro,MNE,2017,1592
Montenegro,MNE,2018,1763.9
Montenegro,MNE,2019,1873.3401
Montenegro,MNE,2020,1922.2367
Montenegro,MNE,2021,2077.2175
Morocco,MAR,2017,647.9
Morocco,MAR,2018,693.3
Morocco,MAR,2019,653.0614
Morocco,MAR,2020,601.0732
Morocco,MAR,2021,741.1223
Myanmar,MMR,2017,437.8
Myanmar,MMR,2018,466.7
Myanmar,MMR,2019,490.21902
Myanmar,MMR,2020,513.435
Myanmar,MMR,2021,501.6014
Netherlands,NLD,2017,2416.5
Netherlands,NLD,2018,2621
Netherlands,NLD,2019,2404.7288
Netherlands,NLD,2020,2481.732
Netherlands,NLD,2021,2933.0422
New Zealand,NZL,2017,3286.9
New Zealand,NZL,2018,3277.8
New Zealand,NZL,2019,3137.819
New Zealand,NZL,2020,3241.865
New Zealand,NZL,2021,3483.367
Nigeria,NGA,2017,920.2
Nigeria,NGA,2018,1016.9
Nigeria,NGA,2019,850.2679
Nigeria,NGA,2020,818.39233
Nigeria,NGA,2021,748.6155
North Macedonia,MKD,2017,1113.6
North Macedonia,MKD,2018,1218.9
North Macedonia,MKD,2019,1212.8369
North Macedonia,MKD,2020,1185.8759
North Macedonia,MKD,2021,1659.675
Norway,NOR,2017,3576.5
Norway,NOR,2018,3726.5
Norway,NOR,2019,2814.1484
Norway,NOR,2020,2733.5383
Norway,NOR,2021,4093.419
Oman,OMN,2017,1336.6
Oman,OMN,2018,1329.1
Oman,OMN,2019,1300.3643
Oman,OMN,2020,1348.0492
Oman,OMN,2021,1464.6271
Pakistan,PAK,2017,495.6
Pakistan,PAK,2018,453.9
Pakistan,PAK,2019,324.4971
Pakistan,PAK,2020,364.32373
Pakistan,PAK,2021,383.90683
Panama,PAN,2017,1378.3
Panama,PAN,2018,1405.8
Panama,PAN,2019,1230.8779
Panama,PAN,2020,1037.3135
Panama,PAN,2021,1244.6166
Paraguay,PRY,2017,1176.5
Paraguay,PRY,2018,1208.3
Paraguay,PRY,2019,938.7923
Paraguay,PRY,2020,901.0702
Paraguay,PRY,2021,1124.078
Peru,PER,2017,1156.1
Peru,PER,2018,1190.1
Peru,PER,2019,1112.2732
Peru,PER,2020,1020.2378
Peru,PER,2021,1121.0786
Philippines,PHL,2017,916.6
Philippines,PHL,2018,952.3
Philippines,PHL,2019,1002.00867
Philippines,PHL,2020,945.5435
Philippines,PHL,2021,995.6181
Poland,POL,2017,1342.9
Poland,POL,2018,1480.3
Poland,POL,2019,1301.012
Poland,POL,2020,1516.3815
Poland,POL,2021,1701.5762
Portugal,PRT,2017,2428
Portugal,PRT,2018,2629.4
Portugal,PRT,2019,2449.082
Portugal,PRT,2020,2688.4028
Portugal,PRT,2021,2698.9797
Qatar,QAT,2017,1762.1
Qatar,QAT,2018,1755.7
Qatar,QAT,2019,1673.8707
Qatar,QAT,2020,1543.2792
Qatar,QAT,2021,1779.9376
Romania,ROU,2017,1842.3
Romania,ROU,2018,2040.9
Romania,ROU,2019,1932.8785
Romania,ROU,2020,2018.2958
Romania,ROU,2021,2262.3289
Russia,RUS,2017,1548.3
Russia,RUS,2018,1517
Russia,RUS,2019,1283.6136
Russia,RUS,2020,1299.8226
Russia,RUS,2021,1755.3386
Saudi Arabia,SAU,2017,1648.7
Saudi Arabia,SAU,2018,1689.6
Saudi Arabia,SAU,2019,1741.5045
Saudi Arabia,SAU,2020,1771.844
Saudi Arabia,SAU,2021,2054.2495
Serbia,SRB,2017,1076.8
Serbia,SRB,2018,1225.9
Serbia,SRB,2019,1046.68
Serbia,SRB,2020,1143.7047
Serbia,SRB,2021,1418.8914
Singapore,SGP,2017,1443.5
Singapore,SGP,2018,1503.1
Singapore,SGP,2019,1385.3948
Singapore,SGP,2020,1385.8069
Singapore,SGP,2021,1893.4092
Slovakia,SVK,2017,1724.8
Slovakia,SVK,2018,1925.6
Slovakia,SVK,2019,1757.331
Slovakia,SVK,2020,1916.9081
Slovakia,SVK,2021,2355.9558
Slovenia,SVN,2017,1896.4
Slovenia,SVN,2018,2063.3
Slovenia,SVN,2019,1811.9442
Slovenia,SVN,2020,1828.0132
Slovenia,SVN,2021,2331.8235
South Africa,ZAF,2017,782.6
South Africa,ZAF,2018,828.1
South Africa,ZAF,2019,616.80804
South Africa,ZAF,2020,597.0115
South Africa,ZAF,2021,920.8667
South Korea,KOR,2017,1832.1
South Korea,KOR,2018,1951.4
South Korea,KOR,2019,1543.9899
South Korea,KOR,2020,1500.8661
South Korea,KOR,2021,1986.0392
Spain,ESP,2017,2059.5
Spain,ESP,2018,2217.9
Spain,ESP,2019,2057.6582
Spain,ESP,2020,2158.3755
Spain,ESP,2021,2275.315
Sri Lanka,LKA,2017,829.1
Sri Lanka,LKA,2018,822.5
Sri Lanka,LKA,2019,714.90814
Sri Lanka,LKA,2020,779.89905
Sri Lanka,LKA,2021,780.4219
Sweden,SWE,2017,2878.2
Sweden,SWE,2018,2893.8
Sweden,SWE,2019,2588.658
Sweden,SWE,2020,2601.9092
Sweden,SWE,2021,3268.2246
Switzerland,CHE,2017,3840
Switzerland,CHE,2018,3908.8
Switzerland,CHE,2019,3662.3967
Switzerland,CHE,2020,3970.205
Switzerland,CHE,2021,4313.358
Taiwan,TWN,2017,1791.3
Taiwan,TWN,2018,1857.8
Taiwan,TWN,2019,1673.3723
Taiwan,TWN,2020,1658.6211
Taiwan,TWN,2021,1808.9745
Tanzania,TZA,2017,197.8
Tanzania,TZA,2018,205.8
Tanzania,TZA,2019,212.1716
Tanzania,TZA,2020,226.04926
Tanzania,TZA,2021,179.84703
Thailand,THA,2017,914.6
Thailand,THA,2018,1012.1
Thailand,THA,2019,882.7665
Thailand,THA,2020,966.9441
Thailand,THA,2021,1027.7134
Tunisia,TUN,2017,579.6
Tunisia,TUN,2018,570
Tunisia,TUN,2019,538.6479
Tunisia,TUN,2020,505.57117
Tunisia,TUN,2021,647.72565
Turkey,TUR,2017,1389.2
Turkey,TUR,2018,1209.8
Turkey,TUR,2019,841.1536
Turkey,TUR,2020,971.52704
Turkey,TUR,2021,1478.8129
Turkmenistan,TKM,2017,265.1
Turkmenistan,TKM,2018,297.5
Turkmenistan,TKM,2019,300.36267
Turkmenistan,TKM,2020,309.2268
Turkmenistan,TKM,2021,310.05212
Uganda,UGA,2017,202.6
Uganda,UGA,2018,209.4
Uganda,UGA,2019,216.24927
Uganda,UGA,2020,218.87224
Uganda,UGA,2021,293.40057
Ukraine,UKR,2017,715.6
Ukraine,UKR,2018,857.6
Ukraine,UKR,2019,874.2984
Ukraine,UKR,2020,963.7307
Ukraine,UKR,2021,1292.1539
United Arab Emirates,ARE,2017,1889.4
United Arab Emirates,ARE,2018,1954.9
United Arab Emirates,ARE,2019,2003.57
United Arab Emirates,ARE,2020,1962.9142
United Arab Emirates,ARE,2021,1961.736
United Kingdom,GBR,2017,2038.2
United Kingdom,GBR,2018,2168.2
United Kingdom,GBR,2019,1831.6174
United Kingdom,GBR,2020,1951.0782
United Kingdom,GBR,2021,2417.7542
United States,USA,2017,2548.3
United States,USA,2018,2626.2
United States,USA,2019,2356.8203
United States,USA,2020,2595.5752
United States,USA,2021,3070.234
Uruguay,URY,2017,2187.2
Uruguay,URY,2018,2212.1
Uruguay,URY,2019,1526.631
Uruguay,URY,2020,1587.5781
Uruguay,URY,2021,1950.6066
Uzbekistan,UZB,2017,242.8
Uzbekistan,UZB,2018,186.8
Uzbekistan,UZB,2019,233.7826
Uzbekistan,UZB,2020,264.32962
Uzbekistan,UZB,2021,483.40182
Venezuela,VEN,2017,288.6
Venezuela,VEN,2018,95.4
Venezuela,VEN,2019,1.6081887
Venezuela,VEN,2020,27.33975
Venezuela,VEN,2021,46.672245
Vietnam,VNM,2017,643.7
Vietnam,VNM,2018,692.1
Vietnam,VNM,2019,509.3486
Vietnam,VNM,2020,533.45355
Vietnam,VNM,2021,563.15234
